"item","n","per","display"
"disruption/distraction",316,75,"Distract or Disrupt"
"appropriate/inappropriate",290,69,"Appropriate"
"safe/safety",275,65,"Safe"
"health",159,38,"Health"
"interfere with learning",133,32,"Interfere with Learning"
"clean",111,26,"Clean"
"modest/modesty",82,20,"Modest"
"neat",78,19,"Neat"
"respect/disrespect",54,13,"Respect"
