"type","item","n"
"promotion","alcohol",286
"length","short shorts",277
"promotion","drugs",256
"body","midsection midriff",245
"length","short skirts",241
"promotion","tobacco",241
"headwear","hats",230
"promotion","gangs",206
"promotion","vulgarity/profanity",198
"footwear","bare feet",196
"undergarment","visible",182
"pants","sagging rest below waist",156
"accessories","sunglasses",152
"promotion","violence",152
"headwear","bandanas",151
"promotion","obscene",151
"clothing","see through sheer",149
"length","short dresses",144
"shirt","tube strapless",142
"promotion","discriminatory",139
"shirt","spaghetti string straps",135
"accessories","chains",134
"clothing","low necklines",132
"shirt","halter tops",130
"headwear","head coverings",127
"promotion","sex",123
"headwear","hoods",122
"clothing","pajamas",121
"footwear","slippers soft sole shoes",118
"headwear","caps",109
"shirt","muscle shirts open sides",100
"shirt","tank tops",96
"clothing","too tight",91
"accessories","spiked studded accessories",90
"promotion","offensive",84
"pants","leggings yoga pants  without cover",82
"body","cleavage",76
"clothing","too loose",73
"clothing","revealing",68
"accessories","unsafe accessories",64
"shirt","crop top",62
"grooming","piercings other than ear lobes",57
"shirt","backless",57
"clothing","fishnet mesh attire",56
"accessories","jackets",55
"undergarment","visible  specifically including bras and or bra straps",55
"accessories","wallet chains",53
"body","breasts chest",51
"body","back",50
"promotion","double meanings",50
"headwear","scarves",47
"promotion","weapons",47
"pants","with holes above mid thigh",45
"shirt","sleeveless",45
"accessories","trench coats",43
"grooming","disruptive  hair color",43
"shorts","bike shorts",41
"accessories","blankets",40
"clothing","extremely brief short",40
"clothing","frayed cut torn with holes",40
"promotion","suggestive",38
"body","buttocks",37
"footwear","roller blades shoes with wheels",35
"grooming","disruptive hairstyles",35
"shorts","cutoffs un hemmed",34
"skirt.dress","backless",34
"clothing","sexually provocative suggestive",33
"clothing","spandex",31
"headwear","sweat bands",31
"clothing","immodest",29
"body","shoulders",26
"grooming","hairstyles that obstruct vision",26
"headwear","do rags",26
"headwear","headbands",26
"grooming","dirty hair",25
"undergarment","none",25
"body","torso",24
"clothing","dirty",24
"footwear","cleats",24
"headwear","beanie skull cap",24
"footwear","unsafe",23
"grooming","long hair",22
"pants","un hemmed",22
"shirt","off the shoulder",21
"shirt","undershirts",21
"accessories","collars",20
"grooming","untidy hair",20
"pants","with holes above knee",20
"clothing","low backlines",19
"promotion","illegal for minors",19
"grooming","designs cut in hair",18
"grooming","earrings",18
"grooming","visible tattoos",18
"headwear","hair nets",18
"headwear","visors",18
"shirt","unfastened",18
"accessories","ear gauges",17
"shirt","excessively long",17
"undergarment","undergarments as outergarments",17
"accessories","backpacks",16
"clothing","beachwear swim suit sun suit",16
"pants","with holes",16
"shirt","too short to touch top of pants",16
"skirt.dress","strapless dresses",16
"grooming","combs picks worn in hair",15
"grooming","ungroomed hair",15
"shorts","athletic gym shorts",15
"accessories","gloves",14
"accessories","masks",14
"grooming","facial hair",14
"grooming","mohawks",14
"length","short skorts",14
"skirt.dress","un hemmed",14
"clothing","damaging to school property",13
"footwear","flip flops",13
"grooming","face paint",13
"shirt","racer t back",13
"footwear","steel toe boots",12
"promotion","nudity",12
"shirt","one shoulder",12
"grooming","dirty body",11
"accessories","sharp accessories",10
"body","inappropriate amounts of skin",10
"clothing","excessively torn",10
"grooming","inappropriate tattoos",10
"grooming","razor cut in eyebrows",10
"pants","leggings yoga pants  with cover",10
"promotion","death",10
"promotion","Satanic",10
"accessories","grill teeth",9
"clothing","costumes",9
"clothing","in bad repair",9
"grooming","costume contact lenses",9
"headwear","stocking caps",9
"pants","low cut pants",9
"pants","unfastened overalls",9
"shirt","athletic jerseys",9
"shirt","too short to tuck in",9
"footwear","damaging to school property",8
"grooming","hair rollers",8
"grooming","ponytails",8
"promotion","cults",8
"accessories","belt chains",7
"accessories","unfastened belts",7
"footwear","stocking feet",7
"grooming","writing on body",7
"length","short pants",7
"pants","dangerously long pants",7
"promotion","suicide",7
"shirt","un-hemmed",7
"accessories","headphones",6
"body","sides",6
"clothing","clothing not worn in the intended manner",6
"clothing","untidy",6
"footwear","tap shoes",6
"grooming","make-up",6
"promotion","controversial",6
"promotion","illegal activities",6
"promotion","immoral",6
"shirt","absence of shirt",6
"accessories","damaging to property",5
"accessories","dangling belts",5
"accessories","dog chains",5
"accessories","pillows",5
"accessories","pocket chains",5
"accessories","purses",5
"accessories","spiked studded belt",5
"grooming","untidy",5
"headwear","handkerchiefs",5
"promotion","anti-social behavior",5
"promotion","confederate flag",5
"promotion","illegal substances",5
"promotion","inappropriate",5
"promotion","occult",5
"promotion","skulls",5
"skirt.dress","spaghetti strap dresses",5
"accessories","athletic bags",4
"accessories","earmuffs",4
"accessories","hanging belts",4
"accessories","rings joining 2 or more fingers",4
"accessories","safety pins",4
"body","genitals",4
"body","skin above mid-thigh",4
"clothing","clothing that calls undue attention",4
"clothing","inside out",4
"grooming","excessive fragrance/cologne",4
"grooming","excessive make-up",4
"grooming","rat-tails",4
"length","short jumpers",4
"pants","rolled up pant leg",4
"pants","sweat pants",4
"promotion","pornography",4
"promotion","swastikas",4
"promotion","threatening",4
"undergarment","braless",4
"accessories","arm bands",3
"accessories","bike chains",3
"accessories","long chains",3
"accessories","stuffed animals",3
"accessories","towels",3
"body","hips",3
"body","underarms",3
"clothing","full body camouflage",3
"clothing","hides face",3
"clothing","holes in inappropriate areas",3
"clothing","not fully clothed",3
"clothing","scoop back",3
"clothing","scoop neck",3
"footwear","high heels stilettos",3
"footwear","shoes with spikes",3
"grooming","bad hygiene",3
"grooming","braids",3
"grooming","faux hawks",3
"grooming","nail polish",3
"grooming","tails",3
"grooming","untidy facial hair",3
"pants","excessively torn",3
"pants","transparent leggings",3
"pants","with holes in inappropriate areas",3
"pants","words printed across the rear",3
"promotion","fighting words",3
"shirt","bandeau",3
"shirt","too short to cover midriff",3
"shorts","boxer shorts",3
"shorts","pocket lining visible",3
"skirt.dress","halter dresses",3
"skirt.dress","off the shoulder",3
