"schoolName","stateAbb","matches"
"112 ALC AFTER SCHOOL & SUMMER SCH","MN ","form "
"3D ACADEMY","TX ","form "
"4092 - WATERSHED HIGH SCHOOL ALC","MN ","form "
"4122 - EAGLE RIDGE ACADEMY - IS","MN ","form "
"4122 - EAGLE RIDGE ACADEMY - IS","MN ","handbook"
"54TH STREET ACADEMY","MI ","form "
"112 ALC AFTER SCHOOL & SUMMER SCH","MN ","form "
"3D ACADEMY","TX ","form "
"4092 - WATERSHED HIGH SCHOOL ALC","MN ","form "
"4122 - EAGLE RIDGE ACADEMY - IS","MN ","form "
"4122 - EAGLE RIDGE ACADEMY - IS","MN ","handbook"
"54TH STREET ACADEMY","MI ","form "
"A & M CONS H S","TX ","ERROR"
"A C JONES H S","TX ","form "
"A L BROWN HIGH","NC ","form "
"A MACEO SMITH NEW TECH H S","TX ","form "
"A MACEO SMITH NEW TECH H S","TX ","handbook"
"A. CRAWFORD MOSLEY HIGH SCHOOL","FL ","form "
"A. I. PRINCE TECHNICAL HIGH SCHOOL","CT ","form "
"A. I. PRINCE TECHNICAL HIGH SCHOOL","CT ","handbook"
"ABBOTT HOUSE HIGH SCHOOL - 07","SD ","appearance"
"ABERNATHY H S","TX ","form "
"ABILENE H S","TX ","form "
"ABILENE H S","TX ","handbook"
"ABILENE HIGH SCHOOL","KS ","form "
"ABILENE HIGH SCHOOL","KS ","handbook"
"ABINGTON HIGH","MA ","form "
"ABRAHAM LINCOLN HIGH SCHOOL","CO ","ERROR"
"ABRAXAS CONTINUATION HIGH","CA ","form "
"ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH","CA ","ERROR"
"ACADEMIC ARTS HIGH SCHOOL","MN ","ERROR"
"ACADEMIC EXCELLENCE ONLINE","MN ","ERROR"
"ACADEMIC SOLUTIONS HIGH SCHOOL","FL ","form "
"ACADEMY FOR COMMUNITY EDUCATION (ACE)","FL ","ERROR"
"ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","UT ","appearance"
"ACADEMY FOR SCIENCE AND DESIGN CHARTER (H)","NH ","form "
"ACADEMY FOR SCIENCE AND DESIGN CHARTER (H)","NH ","handbook"
"ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE","TX ","form "
"ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE","TX ","handbook"
"ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN","OH ","form "
"ACADEMY H S","TX ","form "
"ACADEMY OF ARTS AND ACADEMICS","OR ","form "
"ACADEMY OF ARTS AND SCIENCES","CA ","form "
"ACADEMY OF ARTS AND SCIENCES: LOS ANGELES (9-12)","CA ","appearance"
"ACADEMY OF ENVIRON. SCIENCES","FL ","ERROR"
"ACADEMY OF SCIENCE AND ENGINEERING","CA ","ERROR"
"ACADEMY OF THE REDWOODS","CA ","ERROR"
"ACADEMY OF TRADES AND TECH","NM ","form "
"ACADEMY OF URBAN LEARNING","CO ","form "
"ACALANES CENTER FOR INDEPENDENT STUDY","CA ","form "
"ACE CHARTER HIGH","CA ","form "
"ACE LEADERSHIP HIGH SCHOOL","NM ","ERROR"
"ACKERSON LAKE COMMUNITY EDUCATION","MI ","form "
"ACT ACADEMY CYBER CS","PA ","ERROR"
"ACTON-BOXBOROUGH REGIONAL HIGH","MA ","ERROR"
"ADAIR HS","OK ","form "
"ADAMS-FRIENDSHIP HIGH","WI ","form "
"ADDISON HIGH SCHOOL","MI ","handbook"
"ADELANTO HIGH","CA ","form "
"ADM SENIOR HIGH SCHOOL","IA ","form "
"ADMIRAL PEARY AVTS","PA ","form "
"ADMIRAL PEARY AVTS","PA ","appearance"
"ADRIAN HIGH SCHOOL","OR ","form "
"ADRIAN SECONDARY","MN ","ERROR"
"ADULT ACADEMICS","MN ","ERROR"
"ADULT WORK CENTER","MI ","form "
"AFFTON HIGH","MO ","form "
"AFFTON HIGH","MO ","handbook"
"AFTERSCHOOL PROGRAM","MN ","form "
"AGAWAM HIGH","MA ","form "
"AGRA HS","OK ","ERROR"
"AGWSR HIGH SCHOOL","IA ","form "
"AGWSR HIGH SCHOOL","IA ","handbook"
"AGWSR HIGH SCHOOL","IA ","appearance"
"AIM CENTER H S","TX ","ERROR"
"AIM HIGH SCHOOL","WA ","form "
"AKRON EARLY COLLEGE HIGH SCHOOL","OH ","form "
"AKRON STEM HIGH SCHOOL","OH ","form "
"AKRON WESTFIELD SENIOR HIGH SCHOOL","IA ","form "
"ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES","FL ","form "
"ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES","FL "," dress"
"ALAMO HEIGHTS H S","TX ","form "
"ALAMO HEIGHTS H S","TX ","handbook"
"ALAMOGORDO HIGH","NM ","form "
"ALAMOSA HIGH SCHOOL","CO ","ERROR"
"ALBANY HIGH","WI ","form "
"ALBANY HIGH","WI ","handbook"
"ALBANY OPTIONS SCHOOL","OR ","form "
"ALBANY OPTIONS SCHOOL","OR ","handbook"
"ALBANY SENIOR HIGH","MN ","form "
"ALBEMARLE HIGH","VA ","form "
"ALBERT EINSTEIN HIGH","MD ","form "
"ALBERT P BREWER HIGH SCH","AL ","ERROR"
"ALBERTON HIGH SCHOOL","MT ","form "
"ALBERTON HIGH SCHOOL","MT "," dress"
"ALBIA HIGH SCHOOL","IA ","handbook"
"ALBUQUERQUE HIGH","NM ","ERROR"
"ALBURNETT SENIOR HIGH SCHOOL","IA ","form "
"ALBURNETT SENIOR HIGH SCHOOL","IA ","appearance"
"ALC NIGHT SCHOOL","MN ","handbook"
"ALCOA HIGH SCHOOL","TN ","ERROR"
"ALCORN CENTRAL HIGH SCHOOL","MS ","ERROR"
"ALCORN CO VOC COMPLEX","MS ","form "
"ALCOVY HIGH SCHOOL","GA ","form "
"ALCOVY HIGH SCHOOL","GA ","handbook"
"ALDINE H S","TX ","ERROR"
"ALEE ACADEMY CHARTER SCHOOL","FL ","form "
"ALEX HS","OK ","handbook"
"ALEXANDER HAMILTON SENIOR HIGH","CA ","ERROR"
"ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS","FL ","form "
"ALGER B. WILKINS HIGH SCHOOL PLC","NC ","form "
"ALGONQUIN REGIONAL HIGH","MA ","ERROR"
"ALHAMBRA HIGH","CA ","form "
"ALHAMBRA HIGH SCHOOL","AZ ","form "
"ALICE H S","TX ","form "
"ALIEF EARLY COLLEGE H S","TX ","form "
"ALIEF EARLY COLLEGE H S","TX ","appearance"
"ALINE-CLEO HS","OK ","form "
"ALISAL HIGH","CA ","ERROR"
"ALISO NIGUEL HIGH","CA ","ERROR"
"ALLEGHANY HIGH","VA ","form "
"ALLEGHANY HIGH","VA ","handbook"
"ALLEGHANY HIGH","VA ","appearance"
"ALLEGHANY HIGH","NC ","form "
"ALLEN D NEASE SENIOR HIGH SCHOOL","FL ","form "
"ALLEN H S","TX ","ERROR"
"ALLEN PARK HIGH SCHOOL","MI ","form "
"ALLEN VILLAGE HIGH SCHOOL","MO ","form "
"ALLIANCE ALICE M. BAXTER COLLEGE-READY HIGH","CA ","form "
