allItems
accessories--pillows,  accessories--stuffed animals,  accessories--blankets,  accessories--sunglasses,  shirt--excessively long,  shirt--sleeveless,  shirt--tank tops,  skirt.dress--strapless dresses,  skirt.dress--sundresses,  pants--sagging rest below waist,  pants--with holes,  undergarment--visible,  footwear--bare feet,  footwear--slippers soft sole shoes,  headwear--bandanas,  headwear--beanie skull cap,  headwear--caps,  headwear--hats,  headwear--visors,  grooming--gang-related tattoos,  grooming--excessive tattoos,  grooming--excessive hair length,  grooming--designs cut in hair,  grooming--untidy facial hair,  grooming--unusual make-up,  grooming--disruptive hairstyles,  grooming--earrings,  grooming--mohawks,  grooming--piercings other than ear lobes,  grooming--disruptive  hair color,  body--midsection midriff,  clothing--buttoned properly,  clothing--clothing not worn in the intended manner,  clothing--low necklines,  clothing--immodest,  clothing--pajamas,  clothing--see through sheer,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--vulgarity/profanity,  promotion--offensive,  shirt--narrow straps,  length--short dresses,  length--short skirts,  length--short shorts,  rationale--modest/modesty,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--interfere with learning,  rationale--teach grooming and hygiene
accessories--dangling belts,  accessories--jackets,  accessories--sunglasses,  shirt--halter tops,  shirt--crop top,  shirt--tank tops,  shirt--tube strapless,  shorts--athletic gym shorts,  shorts--bike shorts,  undergarment--visible,  body--midsection midriff,  clothing--clothing that calls undue attention,  clothing--body suits,  clothing--see through sheer,  clothing--too tight,  clothing--spandex,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--violence,  promotion--vulgarity/profanity,  promotion--offensive,  length--short skirts,  length--short shorts,  rationale--appropriate/inappropriate,  rationale--respect/disrespect,  rationale--neat,  rationale--clean
accessories--wallet chains,  accessories--backpacks,  accessories--shoulder bags,  accessories--athletic bags,  accessories--purses,  accessories--chains,  accessories--jackets,  undergarment--visible  specifically including bras and or bra straps,  footwear--bare feet,  headwear--bandanas,  headwear--hats,  headwear--hoods,  grooming--face paint,  body--inappropriate amounts of skin,  body--midsection midriff,  promotion--alcohol,  promotion--drugs,  promotion--discriminatory,  promotion--sex,  length--short shorts,  rationale--appropriate/inappropriate,  rationale--health,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--interfere with learning,  rationale--professional/business,  rationale--hygiene,  rationale--self-discipline,  rationale--decency
accessories--wallet chains,  accessories--sunglasses,  pants--leggings yoga pants  without cover,  pants--sagging rest below waist,  pants--with holes above mid thigh,  undergarment--visible  specifically including bras and or bra straps,  headwear--bandanas,  headwear--hats,  headwear--hoods,  headwear--scarves,  headwear--Are there exemptions for headwear,  grooming--hair paint,  grooming--piercings other than ear lobes,  body--back,  body--breasts chest,  body--cleavage,  body--midsection midriff,  body--sides,  body--torso,  clothing--sexually provocative suggestive,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  shirt--narrow straps,  length--short dresses,  length--short skirts,  length--short shorts,  rationale--disruption/distraction
accessories--wallet chains,  accessories--chains,  accessories--trench coats,  shirt--unfastened,  shirt--excessively long,  shirt--too short to touch top of pants,  shirt--off the shoulder,  shirt--sleeveless,  shirt--spaghetti string straps,  shirt--undershirts,  skirt.dress--off the shoulder,  pants--vintage distressed wash,  pants--dangerously long pants,  pants--leggings yoga pants  without cover,  pants--sagging rest below waist,  pants--un hemmed,  pants--with holes,  shorts--bike shorts,  undergarment--none,  undergarment--visible  specifically including bras and or bra straps,  footwear--stocking feet,  footwear--flip flops,  footwear--slippers soft sole shoes,  headwear--bandanas,  headwear--caps,  headwear--hats,  headwear--headbands,  headwear--hoods,  grooming--hair that is spiked over 1 inch,  grooming--shaved,  grooming--bushy,  grooming--designs cut in hair,  grooming--stripes,  grooming--tails,  grooming--excessive make-up,  grooming--sideburns longer than bottom of ear,  grooming--long hair,  grooming--beards,  grooming--goatees,  grooming--disruptive hairstyles,  grooming--earrings,  grooming--faux hawks,  grooming--piercings other than ear lobes,  grooming--razor cut in eyebrows,  grooming--disruptive  hair color,  body--midsection midriff,  clothing--athletic wear,  clothing--beachwear swim suit sun suit,  clothing--frayed cut torn with holes,  clothing--low necklines,  clothing--see through sheer,  clothing--spandex,  clothing--too tight,  clothing--too loose,  promotion--gangs,  promotion--alcohol,  promotion--drugs,  promotion--obscene,  promotion--suicide,  promotion--dark imagery,  promotion--skulls,  length--short shorts,  rationale--appropriate/inappropriate,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--teach grooming and hygiene,  rationale--conservative,  rationale--conventional
accessories--pins,  accessories--chains,  accessories--collars,  accessories--spiked studded accessories,  footwear--unsafe,  footwear--bare feet,  footwear--roller blades shoes with wheels,  headwear--headgear,  headwear--hats,  headwear--Are there exemptions for headwear,  clothing--revealing,  clothing--extremely brief short,  clothing--see through sheer,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--violence,  promotion--vulgarity/profanity,  promotion--discriminatory,  promotion--obscene,  rationale--appropriate/inappropriate,  rationale--safe/safety,  rationale--interfere with learning,  rationale--clean
accessories--pillows,  accessories--blankets,  accessories--chains,  accessories--ear gauges,  accessories--sunglasses,  accessories--trench coats,  shirt--oversized,  shirt--backless,  shirt--muscle shirts open sides,  shirt--racer t back,  shirt--spaghetti string straps,  skirt.dress--backless,  pants--words printed across the rear,  pants--leggings yoga pants  without cover,  pants--sagging rest below waist,  pants--with holes above mid thigh,  footwear--unmatching shoes,  footwear--slippers soft sole shoes,  headwear--bandanas,  headwear--caps,  headwear--hair nets,  headwear--hats,  headwear--head coverings,  headwear--hoods,  grooming--spiking,  grooming--tails,  grooming--partially shaved hair,  grooming--designs cut in hair,  grooming--long hair,  grooming--offensive tattoos,  grooming--exaggerated tattoos,  grooming--combs picks worn in hair,  grooming--disruptive hairstyles,  grooming--earrings,  grooming--facial hair,  grooming--hairstyles that obstruct vision,  grooming--mohawks,  grooming--piercings other than ear lobes,  grooming--disruptive  hair color,  body--cleavage,  body--midsection midriff,  clothing--pajamas,  clothing--see through sheer,  clothing--too loose,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--violence,  promotion--vulgarity/profanity,  promotion--sex,  promotion--death,  promotion--suicide,  promotion--occult,  promotion--non-school sponsored clubs or groups,  shirt--narrow straps,  length--short dresses,  length--short skirts,  length--short shorts,  rationale--modest/modesty,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--teach grooming and hygiene,  rationale--clean
accessories--arm bands,  accessories--goggles,  accessories--gloves,  accessories--spiked studded accessories,  accessories--sunglasses,  accessories--trench coats,  accessories--unsafe accessories,  shirt--too short to touch top of pants,  shirt--excessively long,  shirt--muscle shirts open sides,  shirt--spaghetti string straps,  shirt--halter tops,  undergarment--visible,  footwear--bare feet,  footwear--slippers soft sole shoes,  headwear--bandanas,  headwear--caps,  headwear--do rags,  headwear--hair nets,  headwear--hats,  headwear--sweat bands,  body--buttocks,  body--cleavage,  body--midsection midriff,  clothing--full body camouflage,  clothing--graffiti-style writing,  clothing--hides face,  clothing--affiliated with Insane Clown Posse,  clothing--fishnet mesh attire,  clothing--low necklines,  clothing--pajamas,  clothing--see through sheer,  clothing--sexually provocative suggestive,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--violence,  promotion--discriminatory,  promotion--weapons,  shirt--narrow straps,  length--short skirts,  length--short shorts,  rationale--appropriate/inappropriate,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--interfere with learning
accessories--damaging to property,  accessories--wallet chains,  accessories--chains,  accessories--spiked studded accessories,  accessories--unsafe accessories,  shirt--backless,  shirt--muscle shirts open sides,  skirt.dress--backless,  undergarment--undergarments as outergarments,  undergarment--visible,  footwear--cleats,  footwear--steel toe boots,  grooming--unclean,  body--midsection midriff,  clothing--low necklines,  clothing--see through sheer,  clothing--sexually provocative suggestive,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--violence,  promotion--vulgarity/profanity,  promotion--discriminatory,  promotion--obscene,  promotion--sex,  promotion--weapons,  promotion--threatening,  rationale--appropriate/inappropriate,  rationale--health,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--interfere with learning
accessories--belt buckles with initials,  accessories--belts hanging out of pants,  accessories--damaging to property,  accessories--chains,  accessories--gloves,  accessories--spiked studded accessories,  accessories--towels,  accessories--unsafe accessories,  shirt--off the shoulder,  shirt--halter tops,  pants--sagging rest below waist,  undergarment--visible,  footwear--bare feet,  footwear--steel toe boots,  headwear--bandanas,  grooming--colored hair spray,  grooming--unclean hair,  body--midsection midriff,  clothing--clothing items of predominately one color,  clothing--old English style writing,  clothing--fishnet mesh attire,  clothing--low necklines,  clothing--see through sheer,  clothing--sexually provocative suggestive,  promotion--gangs,  promotion--alcohol,  promotion--tobacco,  promotion--drugs,  promotion--vulgarity/profanity,  promotion--discriminatory,  promotion--obscene,  length--short shorts,  rationale--health,  rationale--safe/safety,  rationale--disruption/distraction,  rationale--clean
