"schoolName","state","back","buttocks","chest","cleavage","midriff","torso","countGroup","localeGroup"
"Hicksville High School","NY",,,,,,,"1500+","suburb"
"Rusk High School","TX",,,,,1,,"500-999","rural"
"may-Port Cg High School","ND",,,,1,1,1,"< 200","rural"
"East High","UT",,,,,1,,"1500+","city"
"North Fort Myers High School","FL",,,,,1,,"1500+","suburb"
"Tomahawk High","WI",,,,,1,,"200-499","town"
"Prior Lake High School","MN",,,,,,,"1500+","suburb"
"Oologah-Talala High School","OK",1,,1,1,1,1,"500-999","rural"
"Judith Gap High School","MT",,,,,1,,"< 200","rural"
"La Feria High School","TX",,,,,1,,"500-999","suburb"
"Glasgow High School","MT",,,,1,1,,"200-499","rural"
"Oakdale High","MD",,1,,,1,,"1000-1500","suburb"
"Barnes County North High School","ND",,,,,,,"< 200","rural"
"Fonda-Fultonville Senior High School","NY",,,,,1,,"200-499","rural"
"Mohonasen Senior High School","NY",,,,,,,"500-999","suburb"
"Dodgeville High","WI",,1,,,1,,"200-499","town"
"Teague High School","TX",,,,1,1,,"200-499","town"
"Arcadia High School","NY",,,,1,1,,"1000-1500","suburb"
"Ravena-Coeymans-Selkirk Senior High School","NY",,,,,,,"500-999","town"
"Northglenn High School","CO",,1,,1,1,,"1500+","suburb"
"Park Vista Community High School","FL",,,,,1,,"1500+","suburb"
"Lathrop High","CA",,,,,1,,"1000-1500","rural"
"Del Mar High","CA",,,,,1,,"1000-1500","city"
"Anamosa High School","IA",,,,,1,,"200-499","town"
"Rio Rancho High","NM",,,,1,1,,"1500+","suburb"
"Taconic High","MA",,,,,,,"500-999","city"
"Latta High School","OK",,,,,1,,"200-499","rural"
"Brookfield High","MO",,,,,1,,"200-499","rural"
"Carmel High School","NY",,,,,,,"1000-1500","suburb"
"Bremond High School","TX",,,,,1,,"< 200","rural"
"Julian High","CA",,,,1,1,,"< 200","rural"
"Red River High School","ND",,,,,,,"1000-1500","city"
"Robertsdale High Sch","AL",,,,1,1,,"1000-1500","town"
"Lathrop High School","AK",,,,1,1,,"1000-1500","city"
"Athol High","MA",,,,,,,"200-499","town"
"Savage High School","MT",1,1,1,1,1,,"< 200","rural"
"Beggs High School","OK",,,,,1,1,"200-499","rural"
"Belton High School","TX",,,,,1,,"1500+","suburb"
"Milton High","WI",,,,,1,,"1000-1500","suburb"
"Southern Columbia High School","PA",,,,1,1,,"200-499","rural"
"Como Park Senior High","MN",,,,,,,"1000-1500","city"
"Elsberry High","MO",,,,,1,,"200-499","rural"
"Port Jervis Senior High School","NY",,,,,1,,"500-999","rural"
"Longmont High School","CO",1,1,1,,1,,"1000-1500","suburb"
"Elko High School","NV",,,,,1,,"1000-1500","town"
"Ironton High School","OH",,,,1,1,,"200-499","suburb"
"South Jefferson High School","NY",,,,,1,,"500-999","rural"
"Simsbury High School","CT",,,1,,1,,"1000-1500","suburb"
"Windthorst High School","TX",,,,,1,,"< 200","rural"
"Northbridge High","MA",,,,,1,,"500-999","suburb"
"Depew High School","NY",,,,,,,"500-999","suburb"
"Amsterdam High School","NY",,,,,,,"1000-1500","rural"
"Barbers Hill High School","TX",1,,,,1,,"1500+","rural"
"Louisiana High","MO",,,,,1,,"200-499","town"
"Butler High School","OH",1,,,,1,,"500-999","suburb"
"Gateway High School","CO",1,1,1,,1,,"1500+","city"
"Pine Bush Senior High School","NY",,,,,,,"1500+","rural"
"Coe-Brown Northwood Academy","NH",,1,1,,1,,"500-999","rural"
"Dawson High School","MT",,,,1,1,1,"200-499","town"
"Eleanor Roosevelt High School","NY",,,,,,,"500-999","city"
"Hinton High School","OK",,,,,,1,"< 200","rural"
"Girard High School","PA",,,,,1,,"500-999","suburb"
"Huntley Project High Schl","MT",,,,,1,,"200-499","rural"
"Fruitvale High School","TX",,,,,1,,"< 200","rural"
"Darlington High","WI",,,,1,1,,"200-499","rural"
"Mounds High School","OK",1,,,,1,,"< 200","rural"
"Howe High School","OK",1,,1,,1,,"< 200","town"
"Oak Grove High","MO",,,,,1,,"500-999","suburb"
"Mclouth High","KS",,,,,1,,"< 200","rural"
"Tatum High School","TX",,,,,1,,"500-999","rural"
"Cedar City High","UT",,,,1,1,,"1000-1500","town"
"Hanover High","KS",,,,,1,,"< 200","rural"
"Rice Lake High","WI",,,,,,1,"500-999","town"
"Daphne High Sch","AL",,,,1,1,,"1000-1500","city"
"New London High","WI",,,,,,,"500-999","rural"
"Lawson High","MO",,,,,,,"200-499","rural"
"Elgin High School","OK",,,1,1,1,,"500-999","rural"
"Akron Westfield Senior High School","IA",,1,,1,1,,"< 200","rural"
"Martinsville High","VA",,,,1,,1,"500-999","town"
"Chillicothe High","MO",,,,,1,,"500-999","town"
"Floyd High","NM",,,,,1,,"< 200","rural"
"Berryville High School","AR",,,,,,,"500-999","town"
"East Laurens High School","GA",,,,,1,,"500-999","rural"
"Turners Fall High","MA",,,,,,,"200-499","town"
"Henrietta High School","TX",1,,,,1,,"200-499","rural"
"Granbury High School","TX",,,,1,1,,"1000-1500","town"
"Rainier Senior High School","WA",,,,,1,,"200-499","rural"
"North Andrew High","MO",,,,1,1,,"< 200","rural"
"Carrollton High School","GA",,,,,1,,"1000-1500","town"
"Horn High School","TX",,,,,,,"1500+","rural"
"Banks County High School","GA",1,,1,1,1,,"500-999","rural"
"Weatherford High School","TX",,,1,1,1,,"1500+","rural"
"Amity Regional High School","CT",1,,1,,1,,"1000-1500","suburb"
"Cornwall Central High School","NY",,,,,,1,"1000-1500","rural"
"Central High School","IA",,,,1,,,"500-999","rural"
"Central High School","IA",,,,,1,,"500-999","rural"
"Washington High","MO",,,,,,,"1000-1500","town"
"Rancho Buena Vista High","CA",1,1,,,1,,"1500+","suburb"
"Freeport Area Shs","PA",1,,,,1,,"500-999","rural"
"Leveretts Chapel High School","TX",,,,,1,,"< 200","rural"
"West Stokes High","NC",,,,,,,"500-999","rural"
"Nantucket High","MA",1,1,1,,1,,"500-999","town"
"North Carroll High","MD",1,1,,1,1,,"500-999","suburb"
"Midland High School","TX",,,,,1,1,"1500+","city"
"Spencer High School","IA",,,,1,1,,"500-999","town"
"Pella High School","IA",,,1,1,1,,"500-999","town"
"Mcgregor High School","TX",,,,,1,,"200-499","town"
"Westhill High School","CT",,,1,,1,,"1500+","city"
"Quincy High","MA",,,,,1,,"1000-1500","suburb"
"Currituck County High","NC",,,,1,1,,"1000-1500","rural"
"Nevada High School","IA",,,,1,1,,"200-499","town"
"Adm Senior High School","IA",1,,,,1,,"200-499","town"
"Wausaukee High","WI",,,,,,,"< 200","rural"
"Pleasant Grove High School","TX",,,,,1,,"500-999","city"
"Bastrop High School","TX",1,,,,1,,"1000-1500","town"
"Tgu-Granville High School","ND",,,,1,,,"< 200","rural"
"Marinette High","WI",,,,,,,"500-999","town"
"Portsmouth High School","NH",,,,1,,,"1000-1500","suburb"
"Borger High School","TX",,,,,1,,"500-999","town"
"Cabool High","MO",,,,,1,,"200-499","rural"
"Symmes Valley High School","OH",,,,,,,"200-499","rural"
"Weldon Valley High School","CO",,,,,1,,"< 200","rural"
"Shadow Hills High","CA",1,1,,,1,,"1500+","rural"
"Laingsburg High School","MI",,,,1,,,"200-499","rural"
"Columbia High School","NY",,,,,,,"1000-1500","rural"
"Twin Valley High School","VT",,,,,,,"< 200","rural"
"Shawano High","WI",,,,1,1,,"500-999","town"
"Hallsville High School","TX",,,,,1,,"1000-1500","rural"
"Laurel High School","MT",1,,1,,1,,"500-999","town"
"G.f.w. High School","MN",,,,1,1,,"200-499","rural"
"Wayzata High","MN",,,,,,,"1500+","city"
"Hart High School","MI",,,,1,1,,"200-499","town"
"Dover High School","OK",,,,,1,,"< 200","rural"
"Scotia-Glenville Senior High School","NY",,,,,1,,"500-999","suburb"
"Powder River Co Dist High","MT",,,,,,1,"< 200","rural"
"Plymouth-Whitemarsh Shs","PA",1,,1,,1,,"1000-1500","suburb"
"Central High School","GA",,,,1,,,"1000-1500","town"
"Central High School","GA",,,,,1,,"1000-1500","town"
"Jericho Senior High School","NY",1,,1,,1,,"1000-1500","suburb"
"Salida High School","CO",1,1,1,,1,,"200-499","town"
"Thomas Jefferson High School","CO",1,1,1,,1,,"1000-1500","city"
"Sheridan High School","WY",,,,1,1,,"500-999","town"
"Nelson County High","VA",1,,1,,1,,"500-999","rural"
"Creekview High School","TX",,,,,1,,"1500+","suburb"
"Hudson High","WI",1,1,1,,1,,"1500+","town"
"Morenci High School","AZ",1,,1,1,1,,"200-499","town"
"West Seneca East Senior High School","NY",,,,,,,"500-999","suburb"
"Weston Ranch High","CA",,,1,,1,,"1000-1500","city"
"Nex Gen Academy","NM",,,,,,,"200-499","city"
"Lander Valley High School","WY",,,,1,1,,"200-499","town"
"Skiatook High School","OK",,,,,1,,"500-999","town"
"Horlick High","WI",,,,,1,,"1500+","city"
"West Delaware High School","IA",,,,,1,,"200-499","town"
"East Coweta High School","GA",,,,,,,"1500+","suburb"
"Niskayuna High School","NY",,,,,,,"1000-1500","suburb"
"Emporia High","KS",,,,,,,"1000-1500","town"
"Newport Middle High School (High)","NH",,,,,1,,"200-499","rural"
"South Central Calhoun High School","IA",,,,,,,"200-499","rural"
"Jackson Hole High School","WY",,,,,1,,"500-999","rural"
"Iraan High School","TX",,,,,1,,"< 200","rural"
"Horizon High School","AZ",,1,1,,1,,"1500+","city"
"Lincoln Senior High School","MI",,,,,,,"1000-1500","rural"
"Turpin High School","OK",,,,,1,,"< 200","rural"
"Bellport Senior High School","NY",,,,,1,,"1000-1500","suburb"
